Reference,Species,Family,Observations,Pub,"Seed
size (mg)","Exp.
cond","Census
time (months)","Life
form",r_survival,n_survival,r_growth,n_growth,r_fecundity,n_fecundity
"Weaver and Cavers 
        1978",Rumex obtusifolius,Polygonaceae,Population 2,1,1.1,F,5,P,-0.109,878,,,,
"Weaver and Cavers 
        1978",Rumex obtusifolius,Polygonaceae,Population3,1,1.1,F,5,P,-0.152,355,,,,
Gross and Smith 1991,Panicum dichotomiflorum,Gramineae,North Early,1,0.55,F,4,A,,,-0.2,177,0.04,177
Gross and Smith 1991,Panicum dichotomiflorum,Gramineae,South Early,1,0.55,F,4,A,,,-0.33,166,0.02,166
Gross and Smith 1991,Panicum dichotomiflorum,Gramineae,North late,1,0.55,F,4,A,,,-0.32,120,-0.05,120
Gross and Smith 1991,Panicum dichotomiflorum,Gramineae,South late,1,0.55,F,4,A,,,-0.09,79,-0.22,79
Cabin et. al. 1997a,Lesquerella fendleri,Cruciferae,High water conditions,1,,NF,,P,-0.351,276,,,,
Cabin et. al. 1997a,Lesquerella fendleri,Cruciferae,Low water conditions,1,,NF,,P,-0.039,520,,,,
Cabin et. al. 1997b,Lesquerella fendleri,Cruciferae,,1,,NF,5,P,-0.216,384,,,,
Cabin et. al. 1997b,Lesquerella fendleri,Cruciferae,Beneath shrubs,1,,NF,5,P,,,-0.073,101,,
Cabin et. al. 1997b,Lesquerella fendleri,Cruciferae,Shrub interspace,1,,NF,5,P,,,0.23,101,,
García 1998,Juniperus communis,Cupressaceae,,0,16.1,F,12,P,-0.1286,292,,,,
"Montesinos, D., personal 
        communication",Silene dicilinis,Caryophyllaceae,1999,0,1.23,F,,P,-0.145,480,,,,
"Montesinos, D., personal 
        communication",Silene dicilinis,Caryophyllaceae,2000,0,1.23,F,,P,0.05,1059,,,,
Miller et al. 1994,Prunella vulgaris,Lamiaceae,"Low density-Hexagonal 
        dist",1,0.6,NF,,P,,,-0.092,120,,
Miller et al. 1994,Prunella vulgaris,Lamiaceae,"Low density-Random 
        dist",1,0.6,NF,,P,,,-0.113,120,,
Miller et al. 1994,Prunella vulgaris,Lamiaceae,"Low density-High 
        Variation",1,0.6,NF,,P,,,-0.078,120,,
Miller et al. 1994,Prunella vulgaris,Lamiaceae,"Medium density-Hexagonal 
        dist",1,0.6,NF,,P,,,-0.096,300,,
Miller et al. 1994,Prunella vulgaris,Lamiaceae,"Medium density-Random 
        dist",1,0.6,NF,,P,,,-0.143,300,,
Miller et al. 1994,Prunella vulgaris,Lamiaceae,"Medium density-High 
        Variation",1,0.6,NF,,P,,,-0.17,300,,
Miller et al. 1994,Prunella vulgaris,Lamiaceae,"High density-Hexagonal 
        dist",1,0.6,NF,,P,,,-0.167,1200,,
Miller et al. 1994,Prunella vulgaris,Lamiaceae,"High density-Random 
        dist",1,0.6,NF,,P,,,-0.172,1200,,
Miller et al. 1994,Prunella vulgaris,Lamiaceae,"High density-High 
        Variation",1,0.6,NF,,P,,,-0.192,1200,,
Seiwa 1998,Acer mono,Sapindaceae,"Forest understory-flushed 
        leafing",1,,F,8,P,-0.308,387,,,,
Seiwa 1998,Acer mono,Sapindaceae,"Forest understory-continuous 
        leafing",1,,F,8,P,-0.231,474,,,,
Seiwa 1998,Acer mono,Sapindaceae,Forest edges,1,,F,8,P,-0.161,293,,,,
Seiwa 1998,Acer mono,Sapindaceae,Small gaps,1,,F,8,P,-0.306,747,,,,
Mack and Pyke 1983,Bromus tectorum,Poaceae,77-78 moist,1,,F,10,A,-0.329,424,,,,
Mack and Pyke 1983,Bromus tectorum,Poaceae,78-79 moist,1,,F,10,A,0.606,2880,,,,
Mack and Pyke 1983,Bromus tectorum,Poaceae,79-80 moist,1,,F,10,A,0.092,524,,,,
Mack and Pyke 1983,Bromus tectorum,Poaceae,77-78 mesic,1,,F,10,A,0.257,912,,,,
Mack and Pyke 1983,Bromus tectorum,Poaceae,78-79 mesic,1,,F,10,A,0.046,2619,,,,
Mack and Pyke 1983,Bromus tectorum,Poaceae,79-80 mesic,1,,F,10,A,0.503,1079,,,,
Mack and Pyke 1983,Bromus tectorum,Poaceae,77-78 dry,1,,F,10,A,-0.125,1419,,,,
Mack and Pyke 1983,Bromus tectorum,Poaceae,78-79 dry,1,,F,10,A,0.832,4031,,,,
Mack and Pyke 1983,Bromus tectorum,Poaceae,79-80 dry,1,,F,10,A,0.005,2796,,,,
Kelly and Levin 1997,Phlox drummondii,Polemoniaceae,Bastrop 89,1,,F,6,A,-0.059,315,,,-0.02,26
Kelly and Levin 1997,Phlox drummondii,Polemoniaceae,Bastrop 90,1,,F,6,A,-0.278,717,,,-0.171,133
Kelly and Levin 1997,Phlox drummondii,Polemoniaceae,Bastrop 91,1,,F,6,A,-0.116,468,,,-0.189,143
Kelly and Levin 1997,Phlox drummondii,Polemoniaceae,Luling 89,1,,F,6,A,-0.139,1465,,,-0.163,205
Kelly and Levin 1997,Phlox drummondii,Polemoniaceae,Luling 90,1,,F,6,A,-0.235,988,,,-0.0079,71
Kelly and Levin 1997,Phlox drummondii,Polemoniaceae,Montopolis 89,1,,F,6,A,-0.178,452,,,-0.201,49
Picó and Retana 2000,Lobularia maritima,Brassicaceae,1994,1,0.35,F,12,P,0.035,583,,,-0.448,115
Picó and Retana 2000,Lobularia maritima,Brassicaceae,1995,1,0.35,F,12,P,0.029,208,,,-0.526,115
Picó and Retana 2000,Lobularia maritima,Brassicaceae,1996,1,0.35,F,12,P,-0.013,620,,,-0.491,115
Donohue 2002,Arabidopsis thaliana,Brassicaceae,,1,0.03,F,6,A,-0.31,810,,,,
"Shimono and Kudo 
        2003",Potentilla matsumurae,Rosaceae,"Fellfield seeds on 
        fellfield plots",1,0.44,F,7,P,-0.199,79,,,,
